price range|price|address|locality|postalCode|beds|bathes|cars|link
600000-650000|$709,000|D06/78 Marlborough Rd|Homebush West|2140|3|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123309910
600000-650000|$639,000|308/46-50 Dunmore St|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-unit-nsw-wentworthville-123331570
600000-650000|$610,000|63 /65-71 Cowper Street|Granville|2142|2|2|1|http://www.realestate.com.au/property-unit-nsw-granville-123553842
650000-700000|UNDER CONTRACT!|16/5 Nurmi Avenue|Newington|2127|2|2|1|http://www.realestate.com.au/property-apartment-nsw-newington-123629634
600000-650000|$629,000|306/81-86 Courallie Avenue|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-122711666
650000-700000|Sales by negotiation|A303/35-39 Balmoral Street|Waitara|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-waitara-123227806?listingType=buy
650000-700000|Contact Agent|572 Pennant Hills Road|West Pennant Hills|2125|3|2|2|http://www.realestate.com.au/property-apartment-nsw-west+pennant+hills-124047982
500000-550000|FOR SALE- $515,000|27/35-37 Harrow Road|Auburn|2144|2|1|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123814094
550000-600000|560,000 - 600,000|10A/15 Campbell Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124289954
450000-500000|Just $495,000|4102/57-59 QUEEN Street|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123548682
500000-550000|$645,000|2/6 Raymond Lane|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123820174
500000-550000|FOR SALE $545,000 - ANDREW KNOX 0425 230 650|32/1 Priddle Street|Westmead|2145|2|1|1|http://www.realestate.com.au/property-unit-nsw-westmead-124150078
650000-700000|Early $700K|C204/35-39 Balmoral Street|Waitara|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-waitara-124108534
500000-550000|$540,000|4/4 BARANGAROO ROAD|Toongabbie|2146|2|1|1|http://www.realestate.com.au/property-unit-nsw-toongabbie-122949494
600000-650000|$610,000 - $640,000|13/10 Field Place|Telopea|2117|2|2|1|http://www.realestate.com.au/property-apartment-nsw-telopea-124128394
650000-700000|"FOR SALE | $689,000"|J208/27-29 George Street|North Strathfield|2137|2|2|2|http://www.realestate.com.au/property-apartment-nsw-north+strathfield-123721454
650000-700000|$675,000|40-44 edgeworth david ave|Waitara|2077|2|1|1|http://www.realestate.com.au/property-apartment-nsw-waitara-124098574
650000-700000|Price Guide $700K - $750K|G06/Building A 3 Broughton Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-122908942
550000-600000|$570,000 - $600,000|10/6 Pope St|Ryde|2112|2|1|1|http://www.realestate.com.au/property-apartment-nsw-ryde-123712942
500000-550000|$550,000|Unit 6/26 Tennyson Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-122444014
450000-500000|$508,000|72 Great Western Highway|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-121744418
550000-600000|Contact Agent||Westmead|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-westmead-123404022
650000-700000|Under Contract by John Ye!|D104/6 Latham Terrace|Newington|2127|2|2|1|http://www.realestate.com.au/property-apartment-nsw-newington-123689658
550000-600000|$590,000|76 Great Western Highway|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-123992214
450000-500000|Ofers over $499,000|1/167 George Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-119819655
600000-650000|$650,000-$675,000|3/169 Cornelia Road|Toongabbie|2146|3|2|2|http://www.realestate.com.au/property-townhouse-nsw-toongabbie-124151830
550000-600000|$640,000|C405/81-86 Courallie Ave|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-124213458
650000-700000|4 Left from $670,000 to $731,000|110 Adderton Road|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-121164050
350000-400000|$479,000|5/219 Dunmore Street|Pendle Hill|2145|2|1|1|http://www.realestate.com.au/property-unit-nsw-pendle+hill-123794230
500000-550000|$535,000|14/35-37 Harrow Rd|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-124119178
600000-650000|$650,000|5/11-15 Hevington Road|Auburn|2144|3|2|2|http://www.realestate.com.au/property-apartment-nsw-auburn-123555770
550000-600000|$698,000 - $738,000|1/18-22 Campbell Street|Northmead|2152|3|2|2|http://www.realestate.com.au/property-apartment-nsw-northmead-124043086
600000-650000|Price guide $779,000 - $799,000|4/25-27 Dixmude Street|Granville|2142|5|3|3|http://www.realestate.com.au/property-townhouse-nsw-granville-123094178
650000-700000|0||||0|0|0|http://www.realestate.com.au/project-darling+mills-nsw-north+rocks-600011442?numBeds=2
600000-650000|Contact Agent|10/56-58 Powell Street|Homebush|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush-124066690
350000-400000|$480,000 - $510,000|9/107-109 LANE STREET|Wentworthville|2145|2|1|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-124148066
600000-650000|$629,000||Granville|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-granville-124118730
600000-650000|$640,000 - $680,000|306/36-40 Romsey Street|Waitara|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-waitara-124256934
650000-700000|Offers between $730,000-$750,000|11/40-42 Cecil Avenue|Castle Hill|2154|2|2|1|http://www.realestate.com.au/property-apartment-nsw-castle+hill-124112886
650000-700000|PRICE GUIDE $790,000- $830,000|13/16-22 Burwood Road|Burwood|2134|2|2|2|http://www.realestate.com.au/property-apartment-nsw-burwood-123994606
500000-550000|$532,000 to $566,000|32-34 Marian Street|Guildford|2161|2|1|1|http://www.realestate.com.au/property-apartment-nsw-guildford-123662246
650000-700000|Contact Agent|1/17 Kirkham Rd|Auburn|2144|3|3|1|http://www.realestate.com.au/property-townhouse-nsw-auburn-123795118
500000-550000|$545,000-$565,000||Toongabbie|2146|2|2|1|http://www.realestate.com.au/property-apartment-nsw-toongabbie-123964074
500000-550000|$600,000 - $620,000|53-55 Veron Street|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-120509329
550000-600000|$590,000-$620,000|1/28-32 Marlborough Road|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-unit-nsw-homebush+west-123975922
550000-600000|$699,000|3/541 Church Street|North Parramatta|2151|3|2|1|http://www.realestate.com.au/property-apartment-nsw-north+parramatta-123999718
650000-700000|Auction On Site Sat 10th Dec 12:30pm|76 Good Street|Granville|2142|3|2|1|http://www.realestate.com.au/property-house-nsw-granville-124148382
500000-550000|Contact Agent|88/90 Wentworth Road|Strathfield|2135|2|1|1|http://www.realestate.com.au/property-apartment-nsw-strathfield-123160922
450000-500000|$459,000|Unit 4/66-68 Pitt Street|Granville|2142|2|1|1|http://www.realestate.com.au/property-apartment-nsw-granville-123861518
600000-650000|$615,000|5016/57-59 Queen St|Auburn|2144|3|2|2|http://www.realestate.com.au/property-apartment-nsw-auburn-123545154
650000-700000|FROM $720,000|21 Girraween Road|Girraween|2145|3|2|1|http://www.realestate.com.au/property-townhouse-nsw-girraween-123946218
650000-700000|$660,000|8/5 Garden Street|Telopea|2117|3|2|1|http://www.realestate.com.au/property-unitblock-nsw-telopea-120618229
600000-650000|Offer welcome!|66/54-62 Nijong Drive|Pemulwuy|2145|2|2|2|http://www.realestate.com.au/property-apartment-nsw-pemulwuy-123820226
650000-700000|$690,000-$700,000|404-416 Windsor Road|Baulkham Hills|2153|2|2|1|http://www.realestate.com.au/property-apartment-nsw-baulkham+hills-118004679
450000-500000|$459,000|1/111 Graham Street|Berala|2141|2|1|1|http://www.realestate.com.au/property-unit-nsw-berala-123986826
600000-650000|$660,000 - $690,000|510/31-37 Hassall Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124073998
550000-600000|Contact Agent|8/97-99 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-122039446
600000-650000|$619,000|17 Lydbrook St|Westmead|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-westmead-120608837
550000-600000|Contact Agent|7/58 Doomben Ave|Eastwood|2122|2|1|1|http://www.realestate.com.au/property-unit-nsw-eastwood-119822575
450000-500000|$515,000 to $539, 950|8/291-293 Woodville Road|Guildford|2161|2|2|1|http://www.realestate.com.au/property-apartment-nsw-guildford-122963342
600000-650000|$639,000|20/81 - 83 Kissing Point Road|Dundas|2117|2|2|2|http://www.realestate.com.au/property-apartment-nsw-dundas-123485270
550000-600000|$690,000 - $720,000|2/49 Clarence Street|Merrylands|2160|4|2|1|http://www.realestate.com.au/property-duplex+semi+detached-nsw-merrylands-124191550
450000-500000|$549,000|Block B/35-43 Toongabbie  Road|Toongabbie|2146|2|2|2|http://www.realestate.com.au/property-unit-nsw-toongabbie-122507558
550000-600000|Range $590,000 to $610,000|4/65-67 Macquarie Road|Auburn|2144|3|1|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123673274
650000-700000|$675,000-$735,000|2 Bed/188 Caroline Chisholm Drive|Winston Hills|2153|2|1|2|http://www.realestate.com.au/property-apartment-nsw-winston+hills-123289402
500000-550000|530,000 - 550,000|10/9-11 Boundary Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-unit-nsw-parramatta-123872830
550000-600000|$579,800|7/12 Stimson Street|Guildford|2161|2|2|1|http://www.realestate.com.au/property-apartment-nsw-guildford-123032778
600000-650000|AUCTION|163 Fowler Road|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-house-nsw-merrylands-124106482
350000-400000|"Price Guide | $395,000 - $430,000"|3/18 Crown Street|Granville|2142|2|1|1|http://www.realestate.com.au/property-apartment-nsw-granville-123986078
600000-650000|$699,000|12/2-10 ANN STREET|Lidcombe|2141|2|2|1|http://www.realestate.com.au/property-apartment-nsw-lidcombe-123793810
550000-600000|Price on Application under $600,000|54 doomben|Eastwood|2122|2|1|1|http://www.realestate.com.au/property-unitblock-nsw-eastwood-124008762
650000-700000|$700,000|61/2-8 Belair Close|Hornsby|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-hornsby-123914438
650000-700000|Price $699,000|24/1219 Pacific Highway|Turramurra|2074|2|2|1|http://www.realestate.com.au/property-apartment-nsw-turramurra-123254354
650000-700000|699,000|E511/81-86 Courallie Avenue|Homebush West|2140|3|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123180178
550000-600000|OFFERS INVITED!|13/ 8   Octavia Street|Toongabbie|2146|2|2|1|http://www.realestate.com.au/property-apartment-nsw-toongabbie-124153094
500000-550000|Contact Agent|22/51 Loftus Crescent|Homebush|2140|2|2|2|http://www.realestate.com.au/property-apartment-nsw-homebush-124081214
450000-500000|JUST SOLD $475,000|6/15 Gibbons Street|Auburn|2144|2|1|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123852406
650000-700000|STARTING AT $690,000|2/20-22 Veron Street|Wentworthville|2145|3|2|1|http://www.realestate.com.au/property-townhouse-nsw-wentworthville-121757646
650000-700000|Contact Agent|101/4 Stromboli Strait|Wentworth Point|2127|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworth+point-124073854
500000-550000|$516,500|51/6-18 Redbank Road|Northmead|2152|2|1|1|http://www.realestate.com.au/property-apartment-nsw-northmead-123702446
500000-550000|$588,000|20/35-37 Harrow Road|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123349222
550000-600000|Contact Agent|22–26 ESSEX ST|Epping|2121|2|2|1|http://www.realestate.com.au/property-apartment-nsw-epping-123695122
650000-700000|Contact Agent||Wentworthville|2145|3|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-121596946
350000-400000|$470,000 - $490,000|7/80-82 Mountford Avenue|Guildford|2161|2|1|1|http://www.realestate.com.au/property-unit-nsw-guildford-124178010
650000-700000|$710,000 - $730,000|61 - 71 Queen Street|Auburn|2144|3|2|2|http://www.realestate.com.au/property-apartment-nsw-auburn-118720935
550000-600000|Contact Agent||Mays Hill|2145|2|2|1|http://www.realestate.com.au/property-unit-nsw-mays+hill-122454738
350000-400000|$595,000||Merrylands|2160|2|2|1|http://www.realestate.com.au/property-house-nsw-merrylands-122212558
550000-600000|Price Guide $570,000 - $610,000|4/19 Crosby Street|Greystanes|2145|2|1|1|http://www.realestate.com.au/property-villa-nsw-greystanes-123854066
550000-600000|$600,000-$649,000|7/4 Barangaroo Road|Toongabbie|2146|2|1|1|http://www.realestate.com.au/property-townhouse-nsw-toongabbie-124057270
600000-650000|Brand New|27 Yattenden Crescent|Baulkham Hills|2153|3|2|1|http://www.realestate.com.au/property-apartment-nsw-baulkham+hills-121854274
500000-550000|$520,000 - $550,000 BUYER RANGE|9/106-108 MERRYLANDS ROAD|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-123785018
600000-650000|$650,000|54/42-50 Hampstead Road|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123800954
650000-700000|$659,000|1/10 - 12 Lords Avenue|Asquith|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-asquith-120845405
650000-700000|Contact Agent|6/3-5 Chelmsford Road|South Wentworthville|2145|2|1|1|http://www.realestate.com.au/property-townhouse-nsw-south+wentworthville-123872486
650000-700000|$655,000 to $720,000|12 East Street|Granville|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-granville-122945222
550000-600000|E.O.I.||Rosehill|2142|2|2|1|http://www.realestate.com.au/property-unit-nsw-rosehill-124196274
650000-700000|Around $670K|710A/3 Broughton St|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-122944190
600000-650000|$615,000|3 broughton street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123596210
650000-700000|$670,000|208-214 Parramatta Road|Homebush|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush-123971302
550000-600000|Deposit Taken|6/14-16 Bowden Street|North Parramatta|2151|2|1|1|http://www.realestate.com.au/property-townhouse-nsw-north+parramatta-123998530
500000-550000|Contact Agent|208 - 214 Parramatta Road|Homebush|2140|2|2|1|http://www.realestate.com.au/property-unit-nsw-homebush-123664522
650000-700000|From $689,000|110/89-93 Wentworth Avenue|Wentworthville|2145|3|2|2|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123450518
550000-600000|0||||0|0|0|http://www.realestate.com.au/project-grandfield-nsw-kellyville-600013294?numBeds=2
550000-600000|FOR SALE-$565,000|24/8-10 Northumberland Road|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123612882
550000-600000|$600,000 -  $660,000|2/34 Lane Street|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123705102
500000-550000|Price Guide $560,000 - $580,000|13/3-5 William Street|Ryde|2112|2|1|1|http://www.realestate.com.au/property-unit-nsw-ryde-124255118
600000-650000|Price guide $620,000 - $660,000|8/20 Ashley Street|Hornsby|2077|2|1|1|http://www.realestate.com.au/property-apartment-nsw-hornsby-124209394
600000-650000|$640,000 - $680,000|3/45 Windsor Road|Kellyville|2155|2|1|1|http://www.realestate.com.au/property-townhouse-nsw-kellyville-123641866
650000-700000|$690,000 to $715,000|2-8 East Street|Granville|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-granville-117749787
650000-700000|$699,950|307/31 Porter Street|Ryde|2112|2|2|1|http://www.realestate.com.au/property-apartment-nsw-ryde-123696282
400000-450000|Contact Agent|21/454 Guildford Road|Guildford|2161|2|1|1|http://www.realestate.com.au/property-unit-nsw-guildford-124223086
550000-600000|Contact Agent|2/66 Courallie Avenue|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-124224498
600000-650000|Boutique 2 bedrooms from $890,000|1 Womerah Street|Turramurra|2074|2|2|2|http://www.realestate.com.au/property-apartment-nsw-turramurra-123284498
600000-650000|$640,000 to $680,000|173/107-115 Pacific Highway|Hornsby|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-hornsby-124269370
600000-650000|FROM $500,000|17 BOOTH ST|Westmead|2145|2|2|2|http://www.realestate.com.au/property-unit-nsw-westmead-123493546
600000-650000|AUCTION|1/75 Bangor Street|Guildford|2161|4|2|1|http://www.realestate.com.au/property-house-nsw-guildford-124114594
550000-600000|UNDER CONTRACT|14/45-47  Veron Street|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123788610
550000-600000|PRICE RANGE $630,000 - $715,000|2-4 Werombi Road|Mount Colah|2079|2|2|1|http://www.realestate.com.au/property-apartment-nsw-mount+colah-122152954
450000-500000|$590,000 - $620,000|209/81-86 COURALLIE AVENUE|Homebush West|2140|2|1|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123771350
600000-650000|Price Upon Application|278-282 Railway Terrace|Guildford|2161|2|2|1|http://www.realestate.com.au/property-house-nsw-guildford-120992122
650000-700000|$660,000|Maple 27/1 Centenary Ave.|Northmead|2152|2|1|1|http://www.realestate.com.au/property-unit-nsw-northmead-123979974
550000-600000|Price Upon Application|13/41-43 Veron Street|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123891282
350000-400000|AUCTION|3/9 Station St|Dundas|2117|2|1|1|http://www.realestate.com.au/property-unit-nsw-dundas-124176502
550000-600000|$598,000|3/7-9 Queens Road|Westmead|2145|2|1|1|http://www.realestate.com.au/property-apartment-nsw-westmead-123761434
650000-700000|Price Guide $700,000 - $730,000||Castle Hill|2154|2|2|2|http://www.realestate.com.au/property-apartment-nsw-castle+hill-123869870
400000-450000|Auction|28/8-10 Northumberland Road|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-124119426
400000-450000|"Price Guide | $479,000"|12/124 Driftway Dr|Pemulwuy|2145|2|1|1|http://www.realestate.com.au/property-apartment-nsw-pemulwuy-124234430
650000-700000|Contact Agent|7-9 Essex Street|Epping|2121|2|2|1|http://www.realestate.com.au/property-apartment-nsw-epping-121843034
600000-650000|$619,000|39/2-8 Wayman Place|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-unit-nsw-merrylands-123317862
650000-700000|BUY NOW AND SAVE|113/46-50 Dunmore Street|Wentworthville|2145|3|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-119321791
550000-600000|$569,000|1/2 McCredie Road|Guildford|2161|3|2|1|http://www.realestate.com.au/property-villa-nsw-guildford-124199586
650000-700000|$758,000|1002/74-78  Belmore St(Entrance from 2 Porter St)|Ryde|2112|2|2|1|http://www.realestate.com.au/property-apartment-nsw-ryde-124100650
650000-700000|$759,000|P505/81-86 Courallie Avenue|Homebush West|2140|3|2|2|http://www.realestate.com.au/property-apartment-nsw-homebush+west-124047926
500000-550000|Contact Agent|52 Burwood Road|Burwood|2134|2|2|1|http://www.realestate.com.au/property-apartment-nsw-burwood-122415730
650000-700000|Contact Agent|414/36-46  Cowper Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124199002
550000-600000|$639,000|12/12 Murray Street|Northmead|2152|2|2|2|http://www.realestate.com.au/property-unit-nsw-northmead-124043106
550000-600000|$660,000 to $690,000|5/5 Dunlop Street|North Parramatta|2151|3|2|1|http://www.realestate.com.au/property-unit-nsw-north+parramatta-123783742
550000-600000|SOLD|6/135-137 Pitt Street|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-unit-nsw-merrylands-122900478
650000-700000|$689,000|11/89-93 Wentworth Ave|Wentworthville|2145|3|2|2|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123627902
600000-650000|Price Upon Request|1-12/9 Evans Road|Telopea|2117|2|2|1|http://www.realestate.com.au/property-apartment-nsw-telopea-122921974
650000-700000|Contact Agent|19-21 Enid Ave|Granville|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-granville-120653517
500000-550000|$539,000-$559,000|10/201-203 William Street|Granville|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-granville-124106614
350000-400000|Contact Agent|239-243 Carlingford Road|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-114597171
500000-550000|$610,000 - $640,000|35/2-8 Wayman Place|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-124021506
500000-550000|$538,000|29/1 Good Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124180902
550000-600000|$659,000|Apartment 2 101/1a  Moreton Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123566578
450000-500000|$549,000|8/11 Brisbane Street|Harris Park|2150|2|1|2|http://www.realestate.com.au/property-apartment-nsw-harris+park-123999702
650000-700000|Contact Agent|13/4-6 Peggy Street|Mays Hill|2145|3|2|1|http://www.realestate.com.au/property-apartment-nsw-mays+hill-124193054
500000-550000|$595,000-$625,000|20/65-69 Adderton Road|Telopea|2117|2|2|1|http://www.realestate.com.au/property-unit-nsw-telopea-122027274
650000-700000|AUCTION ONSITE 26.11.16 AT 1.30PM|7/26 Belmore Street|Burwood|2134|2|1|1|http://www.realestate.com.au/property-unit-nsw-burwood-123961234
650000-700000|**UNDER CONTRACT**|8/9 Nurmi Avenue|Newington|2127|2|2|1|http://www.realestate.com.au/property-apartment-nsw-newington-124084634
550000-600000|Offers above $599.000|G101/12-16 Hope Street|Rosehill|2142|2|1|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-123660082
650000-700000|FOR SALE|610/39-47 Orara Street|Waitara|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-waitara-124222394
500000-550000|$565,000|161 - 163 Great Western Highway|Mays Hill|2145|2|2|1|http://www.realestate.com.au/property-unit-nsw-mays+hill-124228730
450000-500000|$559,500|2/58 O'Connell Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-124199078
600000-650000|Price Guide I $689,000|7/107-109 Chemlsford Road|South Wentworthville|2145|3|2|1|http://www.realestate.com.au/property-townhouse-nsw-south+wentworthville-124251174
600000-650000|Contact Agent|15/10-12 Price Street|Ryde|2112|2|1|1|http://www.realestate.com.au/property-unit-nsw-ryde-124167214
550000-600000|$580,000|10/33 Rawson st|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123968634
600000-650000|$639,000|4/22-24 Burbang Crescent|Rydalmere|2116|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rydalmere-120140985
550000-600000|$638,000|P201 Building P/81- Courallie Ave|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-124128406
650000-700000|Contact Agent|214/36-46 Cowper Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123862522
600000-650000|1,2 and 3 Bedroom Off the Plan Apartment in Epping|8 Carlingford Road|Epping|2121|2|2|1|http://www.realestate.com.au/property-apartment-nsw-epping-122833270
550000-600000|Offers Invited|6/4-6 Peggy Street|Mays Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-mays+hill-123848818
550000-600000|$559,000|21/80 Cardigan Street|Guildford|2161|3|1|1|http://www.realestate.com.au/property-unit-nsw-guildford-124040110
450000-500000|$550,000|3/205-207 William Street|Granville|2142|2|1|1|http://www.realestate.com.au/property-unit-nsw-granville-123897998
650000-700000|$710,000 - $750,000|30/17-25 Kerrs Road|Lidcombe|2141|2|2|1|http://www.realestate.com.au/property-apartment-nsw-lidcombe-124048058
650000-700000|$675,000|103/64-72 River Road|Ermington|2115|2|1|1|http://www.realestate.com.au/property-apartment-nsw-ermington-123388442
550000-600000|$595,000 to $615,000|65-71 Cowper Street|Granville|2142|2|2|1|http://www.realestate.com.au/property-unit-nsw-granville-124042730
550000-600000|$612,750|1/24-26 Lansdowne Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-123868322
650000-700000|$730,000 - $770,000|6/13-17 Thallon Street|Carlingford|2118|3|2|2|http://www.realestate.com.au/property-apartment-nsw-carlingford-122901946
550000-600000|$599,800|27/176 South Pde|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-119821863
550000-600000|Bidders Guide $650,000 - $700,000|6/2 Markey Street|Guildford|2161|3|2|1|http://www.realestate.com.au/property-house-nsw-guildford-124293518
550000-600000|$628,850|19/38-40 Marlborough Road|Homebush West|2140|3|2|2|http://www.realestate.com.au/property-unit-nsw-homebush+west-124210310
600000-650000|Offers Invited|1404/6-10 Charles Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-121547342
650000-700000|$692,000|18-20 Louis St|Granville|2142|3|2|2|http://www.realestate.com.au/property-apartment-nsw-granville-123966906
650000-700000|Contact Agent|172-176 Parramatta Rd|Homebush|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush-122844170
450000-500000|$575,000 - 589,000|309/42 Toongabbie Road|Toongabbie|2146|2|2|1|http://www.realestate.com.au/property-apartment-nsw-toongabbie-124116786
650000-700000|$668,000 - $728,000|24 Robertson St|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-house-nsw-merrylands-124200082
550000-600000|$600,000|13/19 Dartbrook Road|Auburn|2144|2|2|1|http://www.realestate.com.au/property-unit-nsw-auburn-119366735
450000-500000|Price guide $460,000 - $505,000|15/91 Great Western Highway|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-124274302
600000-650000|$650,000 - $700,000|140/208 Pacific Highway|Hornsby|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-hornsby-124120442
400000-450000|$410,000|1/93 Dartbrook Rd|Auburn|2144|2|1|1|http://www.realestate.com.au/property-unit-nsw-auburn-123960778
550000-600000|$575,000 - $595,000|15-19 Toongabbie Rd|Toongabbie|2146|2|2|1|http://www.realestate.com.au/property-apartment-nsw-toongabbie-121633898
500000-550000|Auction|36 Abbott Street|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-house-nsw-merrylands-124215686
500000-550000|Just Listed|14/6-8 Anderson St|Westmead|2145|2|1|1|http://www.realestate.com.au/property-apartment-nsw-westmead-124250662
500000-550000|For Sale $550,000 to $590,000|6/19 Lane Cove Road|Ryde|2112|2|1|1|http://www.realestate.com.au/property-unit-nsw-ryde-124027522
350000-400000|$419,000||Carlingford|2118|2|1|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-114746499
500000-550000|For Sale.. $535,000 - $565,000|2/320A-338 Liverpool Road|Enfield|2136|2|1|1|http://www.realestate.com.au/property-apartment-nsw-enfield-122802910
600000-650000|NEW PROJECT NOW SELLING|172 South Parade|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123976238
550000-600000|$595,000|20/278-282 Railway Terrace|Guildford|2161|2|1|1|http://www.realestate.com.au/property-apartment-nsw-guildford-123804270
650000-700000|$730,000|69 - 71 High Street|Parramatta|2150|3|2|1|http://www.realestate.com.au/property-unit-nsw-parramatta-124195942
650000-700000|Offers Invited|26/30-34 Keeler Street|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-123311630
600000-650000|$620,000 - $670,000|202/8 Courallie Avenue|Homebush West|2140|2|2|2|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123599978
650000-700000|Range $680,000 to $750,000|41 Byron Road|Guildford|2161|3|1|1|http://www.realestate.com.au/property-house-nsw-guildford-124106162
